Агрегатор,Название универсиета,Факультеты все или нет на сайте?,чего не хватает,Специальности все на сайте?,Чего не хватает,цена актуальная,если нет то какая?,Фото и описание кампусов то или нет,Кто собирал информацию (имя практиканта)
kaplan,"City St George's, University of London",Нет,"1.Bayes Business School 2.Department of Engineering, School of Science and Technology 3. City Law School 4.Department of Journalism, School of Communication and Creativity 5.Department of Economics, School of Policy and Global Affairs 6.Department of Psychology, School of Health and Medical Sciences 7.Department of Health Services Research and Management, School of Health and Psychological Sciences 8.Department of Mathematics, School of Science and Technology 9. Department of Health Services Research and Management, School of Health and Psychological Sciences 

",Нет,167 программ ,,,,Гузеля
kaplan,University of Glasgow,Да,"1.School of Medicine, 2.Dentistry and Nursing, College of MVLS, School of Engineering, College of Science and Engineering, School of Humanities, College of Arts, School of Biodiversity, One Health and Veterinary Medicine, School of Mathematics and Statistics, School of Psychology and Neuroscience,  School of Culture and Creative Arts, School of Molecular Bioscience, School of Infection and Immunity, Institute of Molecular, Cell and Systems Biology, Adam Smith Business School, College of Social Sciences, School of Cancer Sciences, School of Social and Political Sciences, ",Нет,177,Да,,Да,Маржан
kaplan,University of Nottingham,Нет,"1. School of Chemistry 2.Nottingham University Business School 3. Department of Civil Engineering 4. Department of Architecture and Built Environment 5. Department of Chemical and Environmental Engineering 6. Department of Mechanical, Materials and Manufacturing Engineering 7. Department of Classics and Archaeology 8. Department of History 9. School of Biosciences 10. School of English 11. Department of History 12. Department of History of Art 13. School of Economics 14. School of Life Sciences 15. School of Medicine 16. School of Cultures, Languages and Area Studies 17.School of Computer Science 18. School of Sociology and Social Policy 19. Department of Cultural, Media and Visual Studies 20. School of Education 21. School of Pharmacy 22. Department of Electrical and Electronic Engineering 23. School of Geography 24. School of Law 25. School of Politics and International Relations 26.  School of Mathematical Sciences 27. Faculty of Medicine and Health Sciences 28. Natural Sciences 29. Department of Philosophy 30. School of Physics and Astronomy 31. Department of Theology and Religious Studies",Нет,159,Да,,,Маржан
kaplan,,Нет,,,,,,,
kaplan,"
Queen Mary University of London",Нет,10 факультетов,,182,Да,,,marzhan
kaplan,Cranfield University,Нет,Cranfield Defence and Security ,Нет,35,,,Да,Аяжан
navitas,Deakin University Lancaster University Indonesia,Нет,Факультетов на сайте нет ,Нет,"Computer Science, Cyber Security and Computer Science, Business Analytics, Commerce and Business Managment ",Нет,цен на сайте нету,Да,Аяжан
navitas,Keele University,Нет,Факультетов на сайте нет,Нет,"Chemistry and Physics, Computer Science and Mathematics, English,Creative Writing and History, Film,Media and Music, Geography,Geology and Environment, Law and Criminology, Nursing, Politics, International relations fnd Philisophy, Psychology, Sociology and Education, Sport, Business and Managment, Health Sciences, Life Sciences",Нет,,Нет,Аяжан
navitas,Western Sydney University,Нет,Факультетов на сайте нет ,Нет,"Arts, Business, Engineering, Information and Communications Technology, Health Science and Nursing, Science",Нет,"Foundation studies 26,700",Да,Аяжан
navitas,Wilfrid Laurier international college,Нет,"Business administration, Business and Economics, Science, Arts, Liberal Arts, Human and Social Sciences",Нет,47,Нет,,Нет,Аяжан
navitas,University of Twente,Нет,Факультетов на сайте нет,Нет,"Engineering and Technology stream, Business,Managment and Social Sciences stream",Нет,,Нет,Аяжан
naviitas,Toronto Metropolitan University,Нет,Факультетов на сайте нет,Нет,"Arts, Commerce, Creative industries, Economics and Finance, Engineering, Science",Нет,,Да,Аяжан
nativas,Brunel University of London,Нет,Факультетов на сайте нет,Нет,"Business and Managment, Economics and Finance, Engineering, Humanities, Social Sciences, Education and Psychology, Information and Computer Science, Law, Finance, Engineering and Design, English, Environmental Sciences, Education",Нет,"Health and Life Sciences 17,450",Нет,Аяжан
kaplan,Massey University,Нет,146 не хватает,Нет,1. Massey Business School 2. College of Creative Arts 3. College of Health 4. College of Humanities and Social Sciences 5. College of Sciences,"Да, частично","$34,220 – $42,300",Да,Маржан
navitas,Edith Cowan University,Нет,,Нет,"Commerce, Communications and Creative industries, Hotel managment, Computing/IT, Engineering, Health Science, Business, Social work",Нет,"Foundation program 29,400",Нет,Аяжан
oxford international,Lincoln Bishop University,Нет,Faculty of Education 2.Faculty of People and Society ,Нет,51,Нет,нет цены,Да,Гузеля
kaplan,Murdoch University,Нет,170 не  хватает,Нет,1. Massey Business School 2.College of Creative Arts 3. College of Health 4. College of Humanities and Social Sciences 5.College of Sciences,"Нет, цен нет","$9,472 - $69,572",Нет,маржан
oxford international,BPP University,Нет, BPP University Law School 2. BPP University Business School 3.BPP University School of Technology 4.BPP University School of Nursing,Нет,37,Нет,цен нет,Да,Гузеля
navitas,Charles Sturt University,Нет,,Нет,"Master of Business Data Analytics, Master of Health Professional Practice, Master of Professional Accounting, Master of Professional Information, Technology, Master of Project Managment and Leadership, Master of Social Work",Нет,цен нет,Нет,Аяжан
oxford international,Ravensbourne University London,Нет,"School of Design, Media and the Creative Industries 2.School of Computing and Digital Technologies  3.School of Business and Management",Нет,66,Да,,Да,Гузеля
naviats,University of Newcastle Australlia,Нет,16,Нет,155,"Да, кроме 3 и 4 фото","$34,800 - $41,700",Нет,маржан
navitas,Eynesbury College,Нет,5,Нет,11,Да,,Нет,маржан
